=== LOG FORENSIQUE ULTRA-STRICT v3.0 MODULE btc_qm_engine ===
Timestamp: 30266190713371 ns | PID: 649 | Thread: 140074835770624
Standards: ISO/IEC 27037, NIST SP 800-86, IEEE 1012
=====================================================
[30266190763250] TEST_START: main_btc_mining | Source: src/main_btc_mining.c:208 in main()
[30266190780360] METRIC #1: btc_run_mode_hash = 66.0000000000 | Src: src/main_btc_mining.c:209 main()
[30266190817210] METRIC #2: btc_module_version = 17.0000000000 | Src: src/main_btc_mining.c:211 main()
[30266190876580] METRIC #3: btc_nx48_csv_loaded_c42 = 1.0000000000 | Src: src/nx48_btc_controller.c:489 nx48_btc_load_csv()
[30266190902100] METRIC #4: btc_nx48_csv_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:491 nx48_btc_load_csv()
[30266190932260] METRIC #5: btc_nx48_best_leading_loaded = 28.0000000000 | Src: src/nx48_btc_controller.c:492 nx48_btc_load_csv()
[30266190988870] METRIC #6: btc_nx48_init_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:155 nx48_btc_init()
[30266191026070] METRIC #7: btc_nx48_delta_nonce_scale = 50.0000000000 | Src: src/nx48_btc_controller.c:156 nx48_btc_init()
[30266191049510] METRIC #8: btc_nx48_n_replicas_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:157 nx48_btc_init()
[30266191073870] METRIC #9: btc_nx48_swap_temp_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:158 nx48_btc_init()
[30266191096650] METRIC #10: btc_nx48_batch_size_scale = 4.0000000000 | Src: src/nx48_btc_controller.c:159 nx48_btc_init()
[30266191118980] METRIC #11: btc_nx48_exploration_bias = 0.9989760000 | Src: src/nx48_btc_controller.c:160 nx48_btc_init()
[30266191155970] METRIC #12: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:396 lv_sha256_self_test()
[30266191191370] METRIC #13: btc_wallet_from_privkey_start = 1.0000000000 | Src: src/btc_wallet.c:356 btc_wallet_from_privkey()
[30266194561459] METRIC #14: btc_wallet_from_privkey_ok = 1.0000000000 | Src: src/btc_wallet.c:407 btc_wallet_from_privkey()
[30266194836679] METRIC #15: btc_wallet_saved_json = 1.0000000000 | Src: src/btc_wallet.c:507 btc_wallet_save_json()
[30266194882659] METRIC #16: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:396 lv_sha256_self_test()
[30266194910959] METRIC #17: btc_integrity_gate_pass = 1.0000000000 | Src: src/btc_mining_engine.c:734 btc_engine_run()
[30266195177099] METRIC #18: btc_ram_available_mb_start = 16212.0000000000 | Src: src/btc_mining_engine.c:761 btc_engine_run()
[30266195218519] TEST_START: btc_engine_create | Source: src/btc_mining_engine.c:344 in engine_create()
[30266195229079] METRIC #19: btc_n_replicas = 8.0000000000 | Src: src/btc_mining_engine.c:345 engine_create()
[30266195262819] METRIC #20: btc_n_threads = 6.0000000000 | Src: src/btc_mining_engine.c:346 engine_create()
[30266195288879] METRIC #21: btc_batch_size = 512.0000000000 | Src: src/btc_mining_engine.c:347 engine_create()
[30266195316019] METRIC #22: btc_nonce_start = 0.0000000000 | Src: src/btc_mining_engine.c:348 engine_create()
[30266195341469] METRIC #23: btc_nonce_end = 4294967295.0000000000 | Src: src/btc_mining_engine.c:349 engine_create()
[30266195368249] METRIC #24: btc_duration_s = 0.0000000000 | Src: src/btc_mining_engine.c:350 engine_create()
[30266195391729] METRIC #25: btc_replica_idx = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195416509] METRIC #26: btc_replica_nonce = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195441419] METRIC #27: btc_replica_temp = 1.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195467399] METRIC #28: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195492519] METRIC #29: btc_replica_idx = 1.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195517659] METRIC #30: btc_replica_nonce = 536870911.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195552169] METRIC #31: btc_replica_temp = 2.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195577679] METRIC #32: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195614589] METRIC #33: btc_replica_idx = 2.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195646739] METRIC #34: btc_replica_nonce = 1073741822.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195673129] METRIC #35: btc_replica_temp = 4.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195698059] METRIC #36: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195722418] METRIC #37: btc_replica_idx = 3.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195746048] METRIC #38: btc_replica_nonce = 1610612733.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195771128] METRIC #39: btc_replica_temp = 8.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195796778] METRIC #40: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195820728] METRIC #41: btc_replica_idx = 4.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195845098] METRIC #42: btc_replica_nonce = 2147483644.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195894788] METRIC #43: btc_replica_temp = 12.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195920258] METRIC #44: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195944848] METRIC #45: btc_replica_idx = 5.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195970338] METRIC #46: btc_replica_nonce = 2684354555.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266195996608] METRIC #47: btc_replica_temp = 20.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196044508] METRIC #48: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196069358] METRIC #49: btc_replica_idx = 6.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196094798] METRIC #50: btc_replica_nonce = 3221225466.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196121368] METRIC #51: btc_replica_temp = 35.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196147118] METRIC #52: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196171988] METRIC #53: btc_replica_idx = 7.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196196818] METRIC #54: btc_replica_nonce = 3758096377.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196223608] METRIC #55: btc_replica_temp = 50.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196248908] METRIC #56: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:353 engine_create()
[30266196276728] METRIC #57: btc_midstate_applied = 1.0000000000 | Src: src/btc_mining_engine.c:776 btc_engine_run()
[30266196451808] METRIC #58: btc_block_nonce = 1921563394.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266196567658] METRIC #59: btc_best_leading_zeros = 1.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266196596258] METRIC #60: btc_block_valid = 0.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266196640228] METRIC #61: btc_threads_launched = 6.0000000000 | Src: src/btc_mining_engine.c:795 btc_engine_run()
[30266196716828] METRIC #62: btc_best_leading_zeros = 1.0000000000 | Src: src/btc_mining_engine.c:600 btc_mining_thread()
[30266196834288] METRIC #63: btc_nx48_csv_saved = 1.0000000000 | Src: src/nx48_btc_controller.c:449 nx48_btc_save_csv()
[30266196871198] METRIC #64: btc_block_nonce = 4162122787.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266196897258] METRIC #65: btc_best_leading_zeros = 2.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266196921898] METRIC #66: btc_block_valid = 0.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266196973188] METRIC #67: btc_best_leading_zeros = 2.0000000000 | Src: src/btc_mining_engine.c:600 btc_mining_thread()
[30266197066018] METRIC #68: btc_nx48_csv_saved = 1.0000000000 | Src: src/nx48_btc_controller.c:449 nx48_btc_save_csv()
[30266197103598] METRIC #69: btc_block_nonce = 2621518892.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266197180918] METRIC #70: btc_best_leading_zeros = 4.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266197204668] METRIC #71: btc_block_valid = 0.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266197249228] METRIC #72: btc_best_leading_zeros = 4.0000000000 | Src: src/btc_mining_engine.c:600 btc_mining_thread()
[30266197329898] METRIC #73: btc_nx48_csv_saved = 1.0000000000 | Src: src/nx48_btc_controller.c:449 nx48_btc_save_csv()
[30266197498108] METRIC #74: btc_block_nonce = 3703167619.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266197546808] METRIC #75: btc_best_leading_zeros = 8.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266197593368] METRIC #76: btc_block_valid = 0.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266197642238] METRIC #77: btc_best_leading_zeros = 8.0000000000 | Src: src/btc_mining_engine.c:600 btc_mining_thread()
[30266197720528] METRIC #78: btc_nx48_csv_saved = 1.0000000000 | Src: src/nx48_btc_controller.c:449 nx48_btc_save_csv()
[30266198213568] METRIC #79: btc_block_nonce = 1096629129.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266198252338] METRIC #80: btc_best_leading_zeros = 10.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266198278318] METRIC #81: btc_block_valid = 0.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266198330668] METRIC #82: btc_best_leading_zeros = 10.0000000000 | Src: src/btc_mining_engine.c:600 btc_mining_thread()
[30266198418408] METRIC #83: btc_nx48_csv_saved = 1.0000000000 | Src: src/nx48_btc_controller.c:449 nx48_btc_save_csv()
[30266201531526] METRIC #84: btc_block_nonce = 2090701495.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266201599876] METRIC #85: btc_best_leading_zeros = 11.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266201627406] METRIC #86: btc_block_valid = 0.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266201683426] METRIC #87: btc_best_leading_zeros = 11.0000000000 | Src: src/btc_mining_engine.c:600 btc_mining_thread()
[30266201794846] METRIC #88: btc_nx48_csv_saved = 1.0000000000 | Src: src/nx48_btc_controller.c:449 nx48_btc_save_csv()
[30266203680366] METRIC #89: btc_block_nonce = 4082192203.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266203735746] METRIC #90: btc_best_leading_zeros = 12.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266203763556] METRIC #91: btc_block_valid = 0.0000000000 | Src: src/btc_mining_engine.c:599 btc_mining_thread()
[30266203821596] METRIC #92: btc_best_leading_zeros = 12.0000000000 | Src: src/btc_mining_engine.c:600 btc_mining_thread()
[30266203917785] METRIC #93: btc_nx48_csv_saved = 1.0000000000 | Src: src/nx48_btc_controller.c:449 nx48_btc_save_csv()
[30266297063570] METRIC #94: btc_ptmc_rep_hot = 1.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
[30266297196860] METRIC #95: btc_ptmc_rep_cold = 0.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
[30266297224240] METRIC #96: btc_ptmc_accept = 1.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
[30266297256870] METRIC #97: btc_ptmc_rep_hot = 2.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
[30266297282750] METRIC #98: btc_ptmc_rep_cold = 1.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
[30266297313160] METRIC #99: btc_ptmc_accept = 1.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
[30266297341900] METRIC #100: btc_ptmc_rep_hot = 3.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
[30266297366850] METRIC #101: btc_ptmc_rep_cold = 2.0000000000 | Src: src/btc_mining_engine.c:414 engine_ptmc_swap()
