=== LOG FORENSIQUE ULTRA-STRICT v3.0 MODULE btc_qm_engine ===
Timestamp: 85453745593499 ns | PID: 4397 | Thread: 139878835440832
Standards: ISO/IEC 27037, NIST SP 800-86, IEEE 1012
=====================================================
[85453745848069] TEST_START: main_btc_mining | Source: src/main_btc_mining.c:160 in main()
[85453745999999] METRIC #1: btc_run_mode_hash = 66.0000000000 | Src: src/main_btc_mining.c:162 main()
[85453746392489] METRIC #2: btc_module_version = 17.0000000000 | Src: src/main_btc_mining.c:163 main()
[85453746990649] METRIC #3: btc_nx48_csv_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:272 nx48_btc_load_csv()
[85453747439539] METRIC #4: btc_nx48_init_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:83 nx48_btc_init()
[85453747798989] METRIC #5: btc_nx48_delta_nonce_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:84 nx48_btc_init()
[85453748349319] METRIC #6: btc_nx48_n_replicas_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:85 nx48_btc_init()
[85453748836029] METRIC #7: btc_nx48_swap_temp_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:86 nx48_btc_init()
[85453749460749] METRIC #8: btc_nx48_batch_size_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:87 nx48_btc_init()
[85453749842519] METRIC #9: btc_nx48_exploration_bias = 0.5000000000 | Src: src/nx48_btc_controller.c:88 nx48_btc_init()
[85453750383789] METRIC #10: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:350 lv_sha256_self_test()
[85453750889359] METRIC #11: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:350 lv_sha256_self_test()
[85453751446979] METRIC #12: btc_integrity_gate_pass = 1.0000000000 | Src: src/btc_mining_engine.c:405 btc_engine_run()
[85453751868959] TEST_START: btc_engine_create | Source: src/btc_mining_engine.c:153 in engine_create()
[85453752007859] METRIC #13: btc_n_replicas = 8.0000000000 | Src: src/btc_mining_engine.c:154 engine_create()
[85453752467069] METRIC #14: btc_n_threads = 4.0000000000 | Src: src/btc_mining_engine.c:155 engine_create()
[85453753017009] METRIC #15: btc_batch_size = 256.0000000000 | Src: src/btc_mining_engine.c:156 engine_create()
[85453753566218] METRIC #16: btc_nonce_start = 0.0000000000 | Src: src/btc_mining_engine.c:157 engine_create()
[85453754040128] METRIC #17: btc_nonce_end = 4294967295.0000000000 | Src: src/btc_mining_engine.c:158 engine_create()
[85453754414368] METRIC #18: btc_duration_s = 5.0000000000 | Src: src/btc_mining_engine.c:159 engine_create()
[85453754781438] METRIC #19: btc_replica_idx = 0.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453755191938] METRIC #20: btc_replica_nonce = 0.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453755652638] METRIC #21: btc_replica_temp = 1.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453756053478] METRIC #22: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453756412588] METRIC #23: btc_replica_idx = 1.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453756800438] METRIC #24: btc_replica_nonce = 536870911.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453757360068] METRIC #25: btc_replica_temp = 2.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453757851158] METRIC #26: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453758332878] METRIC #27: btc_replica_idx = 2.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[85453758803608] METRIC #28: btc_replica_nonce = 1073741822.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
