=== LOG FORENSIQUE ULTRA-STRICT v3.0 MODULE btc_qm_engine ===
Timestamp: 194786464599066 ns | PID: 244 | Thread: 139647686638784
Standards: ISO/IEC 27037, NIST SP 800-86, IEEE 1012
=====================================================
[194786464635146] TEST_START: main_btc_mining | Source: src/main_btc_mining.c:207 in main()
[194786464649746] METRIC #1: btc_run_mode_hash = 66.0000000000 | Src: src/main_btc_mining.c:208 main()
[194786465277186] METRIC #2: btc_module_version = 17.0000000000 | Src: src/main_btc_mining.c:210 main()
[194786465357786] METRIC #3: btc_nx48_csv_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:414 nx48_btc_load_csv()
[194786465403896] METRIC #4: btc_nx48_init_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:146 nx48_btc_init()
[194786465423226] METRIC #5: btc_nx48_delta_nonce_scale = 9.0600000000 | Src: src/nx48_btc_controller.c:147 nx48_btc_init()
[194786465441776] METRIC #6: btc_nx48_n_replicas_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:148 nx48_btc_init()
[194786465460126] METRIC #7: btc_nx48_swap_temp_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:149 nx48_btc_init()
[194786465478206] METRIC #8: btc_nx48_batch_size_scale = 4.0000000000 | Src: src/nx48_btc_controller.c:150 nx48_btc_init()
[194786465496206] METRIC #9: btc_nx48_exploration_bias = 0.4297210000 | Src: src/nx48_btc_controller.c:151 nx48_btc_init()
[194786465524456] METRIC #10: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:396 lv_sha256_self_test()
[194786465550376] METRIC #11: btc_wallet_create_start = 1.0000000000 | Src: src/btc_wallet.c:296 btc_wallet_create()
[194786468118435] METRIC #12: btc_wallet_created = 1.0000000000 | Src: src/btc_wallet.c:343 btc_wallet_create()
[194786468160625] METRIC #13: btc_wallet_create_ns = 2567909.0000000000 | Src: src/btc_wallet.c:344 btc_wallet_create()
[194786468182575] METRIC #14: btc_wallet_network = 1.0000000000 | Src: src/btc_wallet.c:345 btc_wallet_create()
[194786468408295] METRIC #15: btc_wallet_saved_json = 1.0000000000 | Src: src/btc_wallet.c:507 btc_wallet_save_json()
[194786468441825] METRIC #16: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:396 lv_sha256_self_test()
[194786468468165] METRIC #17: btc_integrity_gate_pass = 1.0000000000 | Src: src/btc_mining_engine.c:520 btc_engine_run()
[194786468490835] TEST_START: btc_engine_create | Source: src/btc_mining_engine.c:159 in engine_create()
[194786468498355] METRIC #18: btc_n_replicas = 8.0000000000 | Src: src/btc_mining_engine.c:160 engine_create()
[194786468520955] METRIC #19: btc_n_threads = 8.0000000000 | Src: src/btc_mining_engine.c:161 engine_create()
[194786468543905] METRIC #20: btc_batch_size = 256.0000000000 | Src: src/btc_mining_engine.c:162 engine_create()
[194786468568815] METRIC #21: btc_nonce_start = 0.0000000000 | Src: src/btc_mining_engine.c:163 engine_create()
[194786468592325] METRIC #22: btc_nonce_end = 4294967295.0000000000 | Src: src/btc_mining_engine.c:164 engine_create()
[194786468613995] METRIC #23: btc_duration_s = 0.0000000000 | Src: src/btc_mining_engine.c:165 engine_create()
[194786468632315] METRIC #24: btc_replica_idx = 0.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
[194786468656135] METRIC #25: btc_replica_nonce = 0.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
[194786468678075] METRIC #26: btc_replica_temp = 1.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
[194786468696805] METRIC #27: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
[194786468715255] METRIC #28: btc_replica_idx = 1.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
[194786468733505] METRIC #29: btc_replica_nonce = 536870911.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
[194786468752835] METRIC #30: btc_replica_temp = 2.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
[194786468771085] METRIC #31: btc_replica_leading = 0.0000000000 | Src: src/btc_mining_engine.c:168 engine_create()
