=== LOG FORENSIQUE ULTRA-STRICT v3.0 MODULE btc_qm_engine ===
Timestamp: 121383858096779 ns | PID: 2009 | Thread: 140498573176064
Standards: ISO/IEC 27037, NIST SP 800-86, IEEE 1012
=====================================================
[121383858137059] TEST_START: main_btc_mining | Source: src/main_btc_mining.c:208 in main()
[121383858151319] METRIC #1: btc_run_mode_hash = 66.0000000000 | Src: src/main_btc_mining.c:209 main()
[121383858181349] METRIC #2: btc_module_version = 17.0000000000 | Src: src/main_btc_mining.c:211 main()
[121383858226819] METRIC #3: btc_nx48_csv_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:458 nx48_btc_load_csv()
[121383858271149] METRIC #4: btc_nx48_init_loaded = 1.0000000000 | Src: src/nx48_btc_controller.c:155 nx48_btc_init()
[121383858289729] METRIC #5: btc_nx48_delta_nonce_scale = 28.0357020000 | Src: src/nx48_btc_controller.c:156 nx48_btc_init()
[121383858308589] METRIC #6: btc_nx48_n_replicas_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:157 nx48_btc_init()
[121383858326759] METRIC #7: btc_nx48_swap_temp_scale = 1.0000000000 | Src: src/nx48_btc_controller.c:158 nx48_btc_init()
[121383858345159] METRIC #8: btc_nx48_batch_size_scale = 4.0000000000 | Src: src/nx48_btc_controller.c:159 nx48_btc_init()
[121383858363269] METRIC #9: btc_nx48_exploration_bias = 0.6209970000 | Src: src/nx48_btc_controller.c:160 nx48_btc_init()
[121383858391419] METRIC #10: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:396 lv_sha256_self_test()
[121383858417829] METRIC #11: btc_wallet_from_privkey_start = 1.0000000000 | Src: src/btc_wallet.c:356 btc_wallet_from_privkey()
[121383860632419] METRIC #12: btc_wallet_from_privkey_ok = 1.0000000000 | Src: src/btc_wallet.c:407 btc_wallet_from_privkey()
[121383860794659] METRIC #13: btc_wallet_saved_json = 1.0000000000 | Src: src/btc_wallet.c:507 btc_wallet_save_json()
[121383860829779] METRIC #14: btc_sha256_self_test_pass = 1.0000000000 | Src: src/sha256_lumvorax.c:396 lv_sha256_self_test()
[121383860848919] METRIC #15: btc_integrity_gate_pass = 1.0000000000 | Src: src/btc_mining_engine.c:609 btc_engine_run()
[121383860868259] TEST_START: btc_engine_create | Source: src/btc_mining_engine.c:236 in engine_create()
[121383860875459] METRIC #16: btc_n_replicas = 8.0000000000 | Src: src/btc_mining_engine.c:237 engine_create()
[121383860897509] METRIC #17: btc_n_threads = 8.0000000000 | Src: src/btc_mining_engine.c:238 engine_create()
[121383860915799] METRIC #18: btc_batch_size = 512.0000000000 | Src: src/btc_mining_engine.c:239 engine_create()
