timestamp_ns,phase,event,value,ptr,size
485306128190,MEMORY,alloc,57,0x5dedc2e62bd0,57
485306128380,MEMORY,alloc,72,0x5dedc2e62c20,72
485306128565,MEMORY,alloc,57,0x5dedc2e62c70,57
485306132638,MEMORY,free_unknown,0,0x5dedc2e62bd0,0
485306465765,MEMORY,alloc,31312,0x5dedc2e62cc0,31312
485306492269,MEMORY,alloc,46,0x5dedc24f0b40,46
485306492449,MEMORY,alloc,72,0x5dedc2e62bd0,72
485306492706,MEMORY,alloc,46,0x5dedc2e6a720,46
485306496377,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306504713,MEMORY,alloc,45720,0x5dedc2e6a760,45720
485306539346,MEMORY,alloc,57,0x5dedc2e75a00,57
485306539538,MEMORY,alloc,72,0x5dedc2e75a50,72
485306539653,MEMORY,alloc,57,0x5dedc2e75aa0,57
485306541729,MEMORY,free_unknown,0,0x5dedc2e75a00,0
485306551389,MEMORY,alloc,45064,0x5dedc2e75af0,45064
485306633381,MEMORY,alloc,57,0x5dedc2e75a00,57
485306633675,MEMORY,alloc,72,0x5dedc2e80b00,72
485306633884,MEMORY,alloc,57,0x5dedc2e80b50,57
485306641675,MEMORY,free_unknown,0,0x5dedc2e75a00,0
485306646708,MEMORY,alloc,5536,0x5dedc2e80ba0,5536
485306650847,MEMORY,alloc,56,0x5dedc24f0b40,56
485306650993,MEMORY,alloc,72,0x5dedc2e75a00,72
485306651118,MEMORY,alloc,56,0x5dedc2e82150,56
485306654032,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306657143,MEMORY,alloc,6200,0x5dedc2e82190,6200
485306658386,MEMORY,alloc,56,0x5dedc24f0b40,56
485306658514,MEMORY,alloc,72,0x5dedc2e839d0,72
485306658638,MEMORY,alloc,56,0x5dedc2e83a20,56
485306661036,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306664087,MEMORY,alloc,6376,0x5dedc2e83a60,6376
485306667750,MEMORY,alloc,56,0x5dedc24f0b40,56
485306667879,MEMORY,alloc,72,0x5dedc2e85350,72
485306668004,MEMORY,alloc,56,0x5dedc2e853a0,56
485306671118,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306674152,MEMORY,alloc,4664,0x5dedc2e853e0,4664
485306675209,MEMORY,alloc,47,0x5dedc24f0b40,47
485306675333,MEMORY,alloc,72,0x5dedc2e86620,72
485306675455,MEMORY,alloc,47,0x5dedc2e86670,47
485306677410,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306680485,MEMORY,alloc,5088,0x5dedc2e866b0,5088
485306681403,MEMORY,alloc,47,0x5dedc24f0b40,47
485306681534,MEMORY,alloc,72,0x5dedc2e87aa0,72
485306681660,MEMORY,alloc,47,0x5dedc2e87af0,47
485306683685,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306686563,MEMORY,alloc,5264,0x5dedc2e87b30,5264
485306687770,MEMORY,alloc,47,0x5dedc24f0b40,47
485306690380,MEMORY,alloc,72,0x5dedc2e88fd0,72
485306690542,MEMORY,alloc,47,0x5dedc2e89020,47
485306692543,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306695357,MEMORY,alloc,4576,0x5dedc2e89060,4576
485306696280,MEMORY,alloc,50,0x5dedc24f0b40,50
485306696405,MEMORY,alloc,72,0x5dedc2e8a250,72
485306696528,MEMORY,alloc,50,0x5dedc2e8a2a0,50
485306698670,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485306979975,MEMORY,alloc,14040,0x5dedc2e8a2e0,14040
485306992247,MEMORY,alloc,51,0x5dedc24f0b40,51
485306992701,MEMORY,alloc,72,0x5dedc2e8d9c0,72
485306992910,MEMORY,alloc,51,0x5dedc2e8da10,51
485306996879,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485307017112,MEMORY,alloc,40752,0x5dedc2e8da50,40752
485307049206,MEMORY,alloc,56,0x5dedc24f0b40,56
485307049559,MEMORY,alloc,72,0x5dedc2e97990,72
485307049681,MEMORY,alloc,56,0x5dedc2e979e0,56
485307053140,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485307225287,MEMORY,alloc,29384,0x5dedc2e97a20,29384
485307248027,MEMORY,alloc,57,0x5dedc2e9ecf0,57
485307248198,MEMORY,alloc,72,0x5dedc2e9ed40,72
485307248396,MEMORY,alloc,57,0x5dedc2e9ed90,57
485307253061,MEMORY,free_unknown,0,0x5dedc2e9ecf0,0
485307318709,MEMORY,alloc,31312,0x5dedc2e9ede0,31312
485307351392,MEMORY,alloc,46,0x5dedc24f0b40,46
485307351635,MEMORY,alloc,72,0x5dedc2e9ecf0,72
485307351855,MEMORY,alloc,46,0x5dedc2ea6840,46
485307355260,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485307746354,MEMORY,alloc,45720,0x5dedc2ea6880,45720
485307867069,MEMORY,alloc,57,0x5dedc2eb1b20,57
485307867514,MEMORY,alloc,72,0x5dedc2eb1b70,72
485307867807,MEMORY,alloc,57,0x5dedc2eb1bc0,57
485307873455,MEMORY,free_unknown,0,0x5dedc2eb1b20,0
485307886129,MEMORY,alloc,45064,0x5dedc2eb1c10,45064
485307935802,MEMORY,alloc,57,0x5dedc2eb1b20,57
485307936171,MEMORY,alloc,72,0x5dedc2ebcc20,72
485307936456,MEMORY,alloc,57,0x5dedc2ebcc70,57
485307953124,MEMORY,free_unknown,0,0x5dedc2eb1b20,0
485307958866,MEMORY,alloc,5536,0x5dedc2ebccc0,5536
485307963815,MEMORY,alloc,56,0x5dedc24f0b40,56
485307964029,MEMORY,alloc,72,0x5dedc2eb1b20,72
485307964217,MEMORY,alloc,56,0x5dedc2ebe270,56
485307967799,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485307972779,MEMORY,alloc,6200,0x5dedc2ebe2b0,6200
485307974092,MEMORY,alloc,56,0x5dedc24f0b40,56
485307974372,MEMORY,alloc,72,0x5dedc2ebfaf0,72
485307974564,MEMORY,alloc,56,0x5dedc2ebfb40,56
485307977723,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485307982410,MEMORY,alloc,6376,0x5dedc2ebfb80,6376
485307987025,MEMORY,alloc,56,0x5dedc24f0b40,56
485307987310,MEMORY,alloc,72,0x5dedc2ec1470,72
485307987486,MEMORY,alloc,56,0x5dedc2ec14c0,56
485307990623,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485307994937,MEMORY,alloc,4664,0x5dedc2ec1500,4664
485307995939,MEMORY,alloc,47,0x5dedc24f0b40,47
485307996195,MEMORY,alloc,72,0x5dedc2ec2740,72
485307996362,MEMORY,alloc,47,0x5dedc2ec2790,47
485308015119,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308020202,MEMORY,alloc,5088,0x5dedc2ec27d0,5088
485308021250,MEMORY,alloc,47,0x5dedc24f0b40,47
485308021455,MEMORY,alloc,72,0x5dedc2ec3bc0,72
485308021604,MEMORY,alloc,47,0x5dedc2ec3c10,47
485308024555,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308028974,MEMORY,alloc,5264,0x5dedc2ec3c50,5264
485308033798,MEMORY,alloc,47,0x5dedc24f0b40,47
485308034031,MEMORY,alloc,72,0x5dedc2ec50f0,72
485308034283,MEMORY,alloc,47,0x5dedc2ec5140,47
485308037197,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308041316,MEMORY,alloc,5096,0x5dedc2ec5180,5096
485308042477,MEMORY,alloc,51,0x5dedc24f0b40,51
485308042731,MEMORY,alloc,72,0x5dedc2ec6570,72
485308042930,MEMORY,alloc,51,0x5dedc2ec65c0,51
485308045888,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308050506,MEMORY,alloc,5032,0x5dedc2ec6600,5032
485308051673,MEMORY,alloc,51,0x5dedc24f0b40,51
485308051985,MEMORY,alloc,72,0x5dedc2ec79b0,72
485308052185,MEMORY,alloc,51,0x5dedc2ec7a00,51
485308054966,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308058978,MEMORY,alloc,5096,0x5dedc2ec7a40,5096
485308060128,MEMORY,alloc,51,0x5dedc24f0b40,51
485308060384,MEMORY,alloc,72,0x5dedc2ec8e30,72
485308060596,MEMORY,alloc,51,0x5dedc2ec8e80,51
485308064346,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308069016,MEMORY,alloc,5032,0x5dedc2ec8ec0,5032
485308074336,MEMORY,alloc,51,0x5dedc24f0b40,51
485308074631,MEMORY,alloc,72,0x5dedc2eca270,72
485308074825,MEMORY,alloc,51,0x5dedc2eca2c0,51
485308078977,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308137041,MEMORY,alloc,15176,0x5dedc2eca300,15176
485308168591,MEMORY,alloc,52,0x5dedc24f0b40,52
485308168899,MEMORY,alloc,72,0x5dedc2ecde50,72
485308169046,MEMORY,alloc,52,0x5dedc2ecdea0,52
485308177803,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485308189325,MEMORY,alloc,15112,0x5dedc2ecdee0,15112
485308214255,MEMORY,alloc,52,0x5dedc24f0b40,52
