Next Page Token = CfDJ8MObNv7beYBJjzZT7SO0JVIilzLCJl5EeNsJmoZNPCggX14InpyDF5n7z50PG7ybBBdIUa6oL_-ehTkFvG7U_WE
  teamId  teamName              submissionDate              score  
--------  --------------------  --------------------------  -----  
14989279  reyvan14              2026-01-22 08:45:23.346000  44     
14798945  i.won.a.maths.debate  2026-01-22 09:11:37.960000  44     
15119426  Hrithik Reddy         2026-01-22 06:23:25.440000  44     
14808304  Gliding Moran         2026-01-22 00:27:29.050000  43     
14840523  Gaurav Gambhir        2026-01-21 17:08:06.366000  43     
14805139  Neer                  2026-01-21 16:56:55.206000  43     
14821453  InterLink             2026-01-21 03:50:40.960000  43     
15045959  Ioannis Pantidis      2026-01-22 05:45:10.713000  43     
14841586  Xander                2026-01-20 00:17:41.956000  43     
14833324  SUN YONG              2026-01-21 06:07:10.950000  43     
14807228  diego.exe             2026-01-21 08:29:36.223000  43     
14874539  ikun                  2026-01-22 02:19:21.643000  43     
14926139  HarryQuake            2026-01-12 03:19:47.753000  43     
14831713  lkevincc              2026-01-22 05:13:28.970000  43     
14807946  I love math           2026-01-22 08:24:29.573000  43     
14892013  Theta                 2026-01-20 02:06:40.196000  43     
14863504  chasing 45 :)         2026-01-21 00:03:19.773000  43     
14827230  cc                    2026-01-21 12:56:03.273000  43     
14915402  Naoufel El Bachir     2026-01-18 23:33:44.143000  43     
15016752  Neeraj                2026-01-21 20:43:55.616000  43     
